Ticker,Name,Date,Time,Open,High,Low,Close,Volume,OPENINT
TCS-EQ,TCS-EQ,03092013,10:12:0,2048.3,2048.3,2046.5,2047.3,940,0
TCS-EQ,TCS-EQ,03092013,10:13:0,2047,2049.3,2046.25,2047.7,1220,0
TCS-EQ,TCS-EQ,03092013,10:14:0,2048.25,2048.75,2047.95,2048.1,554,0
TCS-EQ,TCS-EQ,03092013,10:15:0,2048.1,2051,2048.1,2051,1528,0
TCS-EQ,TCS-EQ,03092013,10:16:0,2051.5,2053.3,2051.2,2052.4,1269,0
TCS-EQ,TCS-EQ,03092013,10:17:0,2052.4,2054,2052.4,2053.7,1885,0
TCS-EQ,TCS-EQ,03092013,10:18:0,2052.9,2053.9,2049.4,2049.4,1872,0
TCS-EQ,TCS-EQ,03092013,10:19:0,2049,2051.25,2048,2051.25,1439,0
TCS-EQ,TCS-EQ,03092013,10:20:0,2051.35,2052,2049.1,2049.95,1404,0
TCS-EQ,TCS-EQ,03092013,10:21:0,2049.9,2049.9,2047,2047.25,1578,0
TCS-EQ,TCS-EQ,03092013,10:22:0,2047.25,2047.9,2046.35,2047.65,706,0
TCS-EQ,TCS-EQ,03092013,10:23:0,2047.9,2050.85,2047.75,2050.2,1351,0
TCS-EQ,TCS-EQ,03092013,10:24:0,2050.5,2052.45,2050.5,2052,938,0
TCS-EQ,TCS-EQ,03092013,10:25:0,2051.65,2053.45,2051.65,2052.85,3091,0
TCS-EQ,TCS-EQ,03092013,10:26:0,2052.85,2053.75,2051.7,2052.9,1665,0
TCS-EQ,TCS-EQ,03092013,10:27:0,2053.7,2053.7,2051.6,2052,1078,0
TCS-EQ,TCS-EQ,03092013,10:28:0,2051.65,2052,2050.9,2052,1098,0
TCS-EQ,TCS-EQ,03092013,10:29:0,2052,2054.5,2051.95,2053.95,1437,0
TCS-EQ,TCS-EQ,03092013,10:30:0,2052.9,2055,2051.65,2054.95,3579,0
TCS-EQ,TCS-EQ,03092013,10:31:0,2054.9,2055,2052.75,2053.3,1322,0
TCS-EQ,TCS-EQ,03092013,10:32:0,2052.85,2053.95,2052.85,2053.95,1133,0
TCS-EQ,TCS-EQ,03092013,10:33:0,2053.7,2053.95,2051,2052.7,1010,0
TCS-EQ,TCS-EQ,03092013,10:34:0,2051.7,2052.75,2050.55,2051.4,1285,0
TCS-EQ,TCS-EQ,03092013,10:35:0,2051.4,2051.4,2047,2049.25,1753,0
TCS-EQ,TCS-EQ,03092013,10:36:0,2049.25,2050,2048.75,2049.2,376,0
TCS-EQ,TCS-EQ,03092013,10:37:0,2049.1,2052.3,2049.1,2051.2,1250,0
TCS-EQ,TCS-EQ,03092013,10:38:0,2050.95,2052,2050.55,2051.9,657,0
TCS-EQ,TCS-EQ,03092013,10:39:0,2051.75,2051.75,2049,2050.1,1440,0
TCS-EQ,TCS-EQ,03092013,10:40:0,2050.3,2052,2050.3,2051.5,543,0
TCS-EQ,TCS-EQ,03092013,10:41:0,2051.5,2052.8,2051.5,2052,732,0
TCS-EQ,TCS-EQ,03092013,10:42:0,2051.9,2052.7,2050,2051.3,1877,0
TCS-EQ,TCS-EQ,03092013,10:43:0,2051.7,2051.7,2049.25,2050.15,525,0
TCS-EQ,TCS-EQ,03092013,10:44:0,2050.45,2050.8,2049,2049.15,850,0
TCS-EQ,TCS-EQ,03092013,10:45:0,2049.25,2051.15,2049.2,2049.2,1448,0
TCS-EQ,TCS-EQ,03092013,10:46:0,2049.25,2052.7,2047.05,2049.9,1220,0
TCS-EQ,TCS-EQ,03092013,10:47:0,2049.85,2049.9,2048.85,2049.5,853,0
TCS-EQ,TCS-EQ,03092013,10:48:0,2049.25,2049.25,2048.1,2049.25,618,0
TCS-EQ,TCS-EQ,03092013,10:49:0,2049.15,2050.7,2049.1,2050.35,783,0
TCS-EQ,TCS-EQ,03092013,10:50:0,2050.3,2050.7,2049.5,2050.1,697,0
TCS-EQ,TCS-EQ,03092013,10:51:0,2050.45,2051.65,2049.1,2050.1,1412,0
TCS-EQ,TCS-EQ,03092013,10:52:0,2050.1,2050.65,2049.25,2050.45,401,0
TCS-EQ,TCS-EQ,03092013,10:53:0,2050.35,2050.9,2047,2047.1,2564,0
TCS-EQ,TCS-EQ,03092013,10:54:0,2047.15,2052,2047.15,2052,3654,0
TCS-EQ,TCS-EQ,03092013,10:55:0,2051.85,2059.35,2051.85,2057.5,13267,0
TCS-EQ,TCS-EQ,03092013,10:56:0,2057.5,2058.7,2056.1,2057.15,3391,0
TCS-EQ,TCS-EQ,03092013,10:57:0,2057.15,2059.85,2056.65,2057.8,2825,0
TCS-EQ,TCS-EQ,03092013,10:58:0,2057.8,2058,2055,2055,1513,0
TCS-EQ,TCS-EQ,03092013,10:59:0,2054,2054.9,2048.6,2048.7,10698,0
TCS-EQ,TCS-EQ,03092013,11:0:0,2048.7,2051,2048.6,2050,3479,0
TCS-EQ,TCS-EQ,03092013,11:1:0,2050,2053.2,2049.95,2053.15,1573,0
TCS-EQ,TCS-EQ,03092013,11:2:0,2053.15,2053.9,2050,2050.95,1400,0
TCS-EQ,TCS-EQ,03092013,11:3:0,2051,2052.45,2050.75,2052.45,920,0
TCS-EQ,TCS-EQ,03092013,11:4:0,2052.25,2052.4,2051.25,2051.25,580,0
TCS-EQ,TCS-EQ,03092013,11:5:0,2051.25,2052.1,2051,2051.5,1780,0
TCS-EQ,TCS-EQ,03092013,11:6:0,2051.75,2051.75,2051.5,2051.65,693,0
TCS-EQ,TCS-EQ,03092013,11:7:0,2051.5,2054.9,2051.5,2052.8,2256,0
TCS-EQ,TCS-EQ,03092013,11:8:0,2053.05,2053.9,2052.2,2053.9,1193,0
TCS-EQ,TCS-EQ,03092013,11:9:0,2053.85,2053.9,2052,2052,809,0
TCS-EQ,TCS-EQ,03092013,11:10:0,2052.3,2052.3,2052,2052,939,0
TCS-EQ,TCS-EQ,03092013,11:11:0,2052.15,2052.15,2050.5,2051.15,1571,0
TCS-EQ,TCS-EQ,03092013,11:12:0,2051.15,2052,2051.15,2052,420,0
TCS-EQ,TCS-EQ,03092013,11:13:0,2051.95,2052.25,2051.3,2051.3,796,0
TCS-EQ,TCS-EQ,03092013,11:14:0,2051.35,2052.25,2051.05,2051.95,1036,0
TCS-EQ,TCS-EQ,03092013,11:15:0,2051.2,2053,2051.2,2052.6,2192,0
TCS-EQ,TCS-EQ,03092013,11:16:0,2052.2,2052.95,2052,2052.25,738,0
TCS-EQ,TCS-EQ,03092013,11:17:0,2052.2,2052.3,2052.2,2052.2,654,0
TCS-EQ,TCS-EQ,03092013,11:18:0,2052.2,2053,2052,2052.95,3209,0
TCS-EQ,TCS-EQ,03092013,11:19:0,2052.65,2052.95,2052,2052.45,536,0
TCS-EQ,TCS-EQ,03092013,11:20:0,2052.4,2052.4,2050.4,2050.95,3540,0
TCS-EQ,TCS-EQ,03092013,11:21:0,2051.95,2051.95,2051.9,2051.9,1076,0
TCS-EQ,TCS-EQ,03092013,11:22:0,2051.95,2052,2051.9,2052,1164,0
TCS-EQ,TCS-EQ,03092013,11:23:0,2052,2052,2051.7,2052,1517,0
TCS-EQ,TCS-EQ,03092013,11:24:0,2052,2052.2,2051.85,2052,1854,0
TCS-EQ,TCS-EQ,03092013,11:25:0,2052,2052,2051.95,2051.95,1170,0
TCS-EQ,TCS-EQ,03092013,11:26:0,2052,2052,2051.95,2051.95,1098,0
TCS-EQ,TCS-EQ,03092013,11:27:0,2051.95,2052,2050.2,2051,1536,0
TCS-EQ,TCS-EQ,03092013,11:28:0,2050.2,2050.9,2050.15,2050.6,633,0
TCS-EQ,TCS-EQ,03092013,11:29:0,2050.8,2050.8,2049.65,2049.65,1514,0
TCS-EQ,TCS-EQ,03092013,11:30:0,2049.7,2050.25,2048.6,2050.1,6837,0
TCS-EQ,TCS-EQ,03092013,11:31:0,2049.95,2051.5,2049.9,2050.8,1812,0
TCS-EQ,TCS-EQ,03092013,11:32:0,2050.8,2051,2050,2050,1322,0
TCS-EQ,TCS-EQ,03092013,11:33:0,2050.4,2051,2050,2051,1000,0
TCS-EQ,TCS-EQ,03092013,11:34:0,2050.8,2050.8,2048.5,2048.5,1402,0
TCS-EQ,TCS-EQ,03092013,11:35:0,2048.9,2049.9,2048.9,2049.3,994,0
TCS-EQ,TCS-EQ,03092013,11:36:0,2049.3,2049.35,2049.3,2049.35,917,0
TCS-EQ,TCS-EQ,03092013,11:37:0,2049.95,2050.1,2048,2048.3,1654,0
TCS-EQ,TCS-EQ,03092013,11:38:0,2048.3,2048.3,2048,2048.05,1477,0
TCS-EQ,TCS-EQ,03092013,11:39:0,2048.1,2049.05,2048,2048.55,944,0
TCS-EQ,TCS-EQ,03092013,11:40:0,2048.95,2048.95,2047.45,2048,1086,0
